name,symbol,website_slug,circulating_supply,last_updated,max_supply,quotes,rank,total_supply
Bitcoin,BTC,bitcoin,17125737.0,1530459378.0,21000000.0,"{'USD': {'price': 6312.71, 'volume_24h': 4077210000.0, 'market_cap': 108109811217.0, 'percent_change_1h': -0.39, 'percent_change_24h': -1.13, 'percent_change_7d': 4.65}}",1.0,17125737.0
Bitcoin,BTC,bitcoin,17125925.0,1530473129.0,21000000.0,"{'USD': {'price': 6332.03, 'volume_24h': 4312930000.0, 'market_cap': 108441870878.0, 'percent_change_1h': -0.24, 'percent_change_24h': -0.23, 'percent_change_7d': 3.64}}",1.0,17125925.0
Litecoin,LTC,litecoin,57219646.0,1530473101.0,84000000.0,"{'USD': {'price': 79.4842, 'volume_24h': 316605000.0, 'market_cap': 4548057782.0, 'percent_change_1h': -0.04, 'percent_change_24h': -0.77, 'percent_change_7d': -0.37}}",6.0,57219646.0
Namecoin,NMC,namecoin,14736400.0,1530473101.0,42000000.0,"{'USD': {'price': 1.29711, 'volume_24h': 103699.0, 'market_cap': 19114732.0, 'percent_change_1h': -0.31, 'percent_change_24h': 0.74, 'percent_change_7d': -0.31}}",282.0,14736400.0
Terracoin,TRC,terracoin,22935396.0,1530473104.0,42000000.0,"{'USD': {'price': 0.111348, 'volume_24h': 7774.92, 'market_cap': 2553811.0, 'percent_change_1h': 5.6, 'percent_change_24h': -7.22, 'percent_change_7d': 40.13}}",686.0,22935396.0
Peercoin,PPC,peercoin,24833374.0,1530473103.0,,"{'USD': {'price': 1.32869, 'volume_24h': 547363.0, 'market_cap': 32995855.0, 'percent_change_1h': 1.42, 'percent_change_24h': -3.36, 'percent_change_7d': -8.78}}",197.0,24833374.0
Novacoin,NVC,novacoin,2113708.0,1530473104.0,336000000.0,"{'USD': {'price': 2.69371, 'volume_24h': 8613.75, 'market_cap': 5693718.0, 'percent_change_1h': -0.26, 'percent_change_24h': -0.61, 'percent_change_7d': 1.68}}",523.0,2113708.0
Mincoin,MNC,mincoin,4602271.0,1530459362.0,,"{'USD': {'price': 0.0236933, 'volume_24h': 210.37, 'market_cap': 109043.0, 'percent_change_1h': -0.51, 'percent_change_24h': -0.45, 'percent_change_7d': 15.11}}",1234.0,4602271.0
Feathercoin,FTC,feathercoin,205432680.0,1530473101.0,336000000.0,"{'USD': {'price': 0.0815197, 'volume_24h': 90671.0, 'market_cap': 16746810.0, 'percent_change_1h': -0.2, 'percent_change_24h': -4.01, 'percent_change_7d': -17.26}}",308.0,205432680.0
Mincoin,MNC,mincoin,4602271.0,1530473101.0,,"{'USD': {'price': 0.0235344, 'volume_24h': 230.943, 'market_cap': 108312.0, 'percent_change_1h': -1.46, 'percent_change_24h': -0.78, 'percent_change_7d': 13.53}}",1229.0,4602271.0
Freicoin,FRC,freicoin,31111710.0,1530473103.0,,"{'USD': {'price': 0.00435354, 'volume_24h': 219.731, 'market_cap': 135446.0, 'percent_change_1h': -0.31, 'percent_change_24h': -18.4, 'percent_change_7d': -7.58}}",1207.0,100000000.0
WorldCoin,WDC,worldcoin,119606941.0,1530459361.0,,"{'USD': {'price': 0.00598634, 'volume_24h': 59.0482, 'market_cap': 716008.0, 'percent_change_1h': 0.19, 'percent_change_24h': 0.06, 'percent_change_7d': 0.39}}",1085.0,119606941.0
Digitalcoin,DGC,digitalcoin,29466683.0,1530459361.0,48166000.0,"{'USD': {'price': 0.0391451, 'volume_24h': 1504.45, 'market_cap': 1153476.0, 'percent_change_1h': -0.85, 'percent_change_24h': -3.31, 'percent_change_7d': 10.57}}",803.0,29466683.0
Ixcoin,IXC,ixcoin,21004891.0,1530473101.0,72245700.0,"{'USD': {'price': 0.103937, 'volume_24h': 789.182, 'market_cap': 2183185.0, 'percent_change_1h': -0.31, 'percent_change_24h': -10.46, 'percent_change_7d': -24.55}}",714.0,21004891.0
BitBar,BTB,bitbar,37854.0,1530473103.0,,"{'USD': {'price': 10.3433, 'volume_24h': 448.301, 'market_cap': 391533.0, 'percent_change_1h': -0.31, 'percent_change_24h': -0.4, 'percent_change_7d': -2.79}}",1123.0,37854.0
Fastcoin,FST,fastcoin,156913424.0,1530459361.0,165888000.0,"{'USD': {'price': 0.00252057, 'volume_24h': 3.95348, 'market_cap': 395511.0, 'percent_change_1h': -0.51, 'percent_change_24h': 1.99, 'percent_change_7d': -8.72}}",1127.0,156913424.0
